,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
332,600018,上港集团,6.13,-1.76,8.29,9.72,1.36,0.10,3.66,10.87,航运港口,14269830.6868,2.0787,2022-05-17
333,600019,宝钢股份,6.22,0.16,6.3,5.86,0.71,0.08,0.38,2.53,钢铁行业,13850951.9841,10.3063,2022-05-17
335,600022,山东钢铁,1.6,-0.62,14.58,14.26,0.78,0.51,0.16,3.1,钢铁行业,1751447.9386,2.4434,2022-05-17
336,600028,中国石化,4.35,0.46,6.96,7.4,0.66,0.06,0.18,2.72,石油行业,52665976.196,6.6667,2022-05-17
337,600030,中信证券,19.32,1.31,12.36,12.4,1.24,0.19,3.8,2.32,证券,28633296.4736,1.807,2022-05-17
340,600036,招商银行,38.6,4.64,7.86,8.12,1.27,0.32,2.88,4.43,银行,97348604.0199,3.2461,2022-05-17
341,600037,歌华有线,9.25,-5.32,40.85,61.64,1.0,0.66,5.09,15.37,文化传媒,1287394.5427,0.4324,2022-05-17
342,600048,保利发展,16.95,0.06,7.4,7.41,1.13,-,0.69,284.28,房地产开发,20289630.8579,4.3067,2022-05-17
343,600050,中国联通,3.51,0.57,16.37,17.25,0.72,1.17,0.33,1.03,通信服务,10876834.1958,3.2433,2022-05-17
345,600057,厦门象屿,9.28,0.65,8.81,9.27,1.5,0.12,0.04,28.86,物流行业,2001896.0833,3.2283,2022-05-17
346,600060,海信视像,11.39,0.53,12.08,13.1,0.91,-,0.32,4.57,家电行业,1490109.5319,2.3717,2022-05-17
347,600061,国投资本,6.1,-0.49,10.37,8.18,0.85,0.63,2.27,8.97,证券,3919434.6476,2.1139,2022-05-17
348,600064,南京高科,11.13,0.27,5.58,5.85,0.88,0.31,4.04,11.99,房地产开发,1375620.0163,4.4924,2022-05-17
349,600066,宇通客车,8.09,2.53,29.42,29.18,1.21,1.57,0.77,61.15,汽车整车,1791076.8314,6.3172,2022-05-17
350,600075,新疆天业,6.02,-1.15,7.35,6.27,1.04,0.10,0.83,3.48,化学原料,1027827.2645,1.3813,2022-05-17
353,600098,广州发展,5.82,-1.36,78.22,101.78,0.88,-,0.55,11.15,电力行业,2062640.3156,2.1942,2022-05-17
356,600104,上汽集团,16.5,1.98,8.31,7.86,0.7,0.41,0.25,18.42,汽车整车,19277711.2523,3.7228,2022-05-17
358,600109,国金证券,8.14,-0.49,15.43,13.08,1.24,0.50,4.65,-40.6,证券,3031628.4783,0.6983,2022-05-17
360,600120,浙江东方,3.67,-0.81,17.3,16.2,0.8,-,0.58,11.27,多元金融,1062950.5854,0.8384,2022-05-17
361,600123,兰花科创,13.75,2.08,5.23,6.68,1.12,0.01,1.13,3.89,煤炭行业,1570800.0,0.7273,2022-05-17
363,600126,杭钢股份,4.77,-1.24,9.61,9.82,0.77,0.26,0.32,4.35,钢铁行业,1610919.1926,4.1929,2022-05-17
367,600143,金发科技,8.84,0.23,17.26,13.69,1.48,-,0.56,11.4,塑料制品,2275082.1512,6.7873,2022-05-17
368,600153,建发股份,13.44,-3.52,6.08,6.31,0.91,0.14,0.05,4.89,贸易行业,3848295.2659,3.7205,2022-05-17
373,600167,联美控股,6.93,-0.43,15.62,15.16,1.5,-,4.51,8.65,电力行业,1585666.7962,5.7202,2022-05-17
375,600170,上海建工,3.08,-2.53,7.95,7.28,0.91,0.69,0.1,4.57,工程建设,2742554.5002,4.698,2022-05-17
377,600177,雅戈尔,7.29,-0.55,5.07,6.58,0.92,-,1.76,-56.47,纺织服装,3374470.2673,6.8589,2022-05-17
382,600208,新湖中宝,2.9,0.35,11.24,11.15,0.62,-,1.48,1.92,房地产开发,2493809.6254,1.8939,2022-05-17
384,600216,浙江医药,13.0,-1.14,12.08,12.0,1.39,0.21,1.41,13.65,化学制药,1254666.4,1.7567,2022-05-17
386,600219,南山铝业,3.33,0.6,11.07,11.67,0.92,0.15,1.25,8.11,有色金属,3979510.3462,1.6517,2022-05-17
389,600248,陕西建工,5.48,-3.52,5.76,5.81,1.22,0.34,0.12,-8.62,工程建设,2021507.4927,1.1505,2022-05-17
392,600271,航天信息,10.12,0.3,23.49,18.3,1.4,-,0.78,16.5,互联网服务,1875119.2537,1.66,2022-05-17
