,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
45,196,626,远大控股,详细  数据  股吧,12.53,-2.57,36.62,28.71,2.21,0.08,0.08,-30.96,贸易行业
46,197,627,天茂集团,详细  数据  股吧,2.9,0.0,36.41,30.44,0.66,-,0.26,-8.48,保险
47,198,628,高新发展,详细  数据  股吧,11.84,-0.59,26.20,25.53,2.66,-,0.65,21.54,工程建设
48,199,629,攀钢钒钛,详细  数据  股吧,3.22,0.94,17.48,20.86,3.46,0.02,1.87,13.34,钢铁行业
49,200,630,铜陵有色,详细  数据  股吧,3.3,1.54,10.38,11.20,1.44,0.03,0.27,5.3,有色金属
0,201,631,顺发恒业,详细  数据  股吧,3.43,-2.28,75.01,87.32,1.33,-,29.62,5.23,房地产开发
1,202,632,三木集团,详细  数据  股吧,5.53,-9.93,166.83,100.83,1.81,-,0.31,88.06,综合行业
2,203,633,合金投资,详细  数据  股吧,5.41,1.5,481.04,622.96,12.22,-,11.61,634.43,小金属
3,204,635,英力特,详细  数据  股吧,7.73,-1.02,-,545.49,0.9,11.34,1.09,17.49,化学原料
4,205,636,风华高科,详细  数据  股吧,16.73,1.64,20.65,20.52,2.73,0.12,3.88,54.62,电子元件
5,206,637,茂化实华,详细  数据  股吧,4.21,0.72,34.91,26.67,2.13,0.03,0.34,6.42,石油行业
6,207,638,*ST万方,详细  数据  股吧,5.53,1.28,42.02,27.24,10.76,0.00,5.33,-24.57,软件开发
7,208,639,西王食品,详细  数据  股吧,4.34,-2.03,60.93,25.52,1.25,-,0.77,-19.11,食品饮料
8,209,650,仁和药业,详细  数据  股吧,6.08,-2.09,12.74,12.80,1.56,0.81,1.69,12.53,中药
9,210,651,格力电器,详细  数据  股吧,33.36,0.12,8.35,8.55,2.03,2.18,1.03,20.65,家电行业
10,211,652,泰达股份,详细  数据  股吧,3.64,-0.82,22.27,22.29,1.01,0.99,0.24,-3.7,综合行业
11,212,655,金岭矿业,详细  数据  股吧,5.91,0.85,49.04,27.50,1.2,-,2.05,9.35,钢铁行业
12,213,656,金科股份,详细  数据  股吧,3.95,-3.42,7.40,5.86,0.62,-,0.19,1.11,房地产开发
13,214,657,中钨高新,详细  数据  股吧,12.43,10.0,23.96,25.30,2.65,0.15,1.07,19.38,小金属
14,215,659,珠海中富,详细  数据  股吧,3.47,0.0,281.93,172.59,8.04,-,3.07,16.5,包装材料
15,216,661,长春高新,详细  数据  股吧,151.35,-0.92,15.23,16.30,3.99,0.68,5.35,18.46,生物制品
16,217,663,永安林业,详细  数据  股吧,6.35,-2.46,41.90,39.14,3.23,2.97,4.13,12.04,装修建材
17,218,665,湖北广电,详细  数据  股吧,8.75,-4.58,-,-,1.57,-,4.69,24.1,文化传媒
18,219,666,经纬纺机,详细  数据  股吧,7.82,-2.01,9.03,9.16,0.58,0.18,0.44,1.53,多元金融
19,220,667,美好置业,详细  数据  股吧,1.65,-2.37,-,-,0.93,0.00,0.71,4.39,房地产开发
20,221,668,荣丰控股,详细  数据  股吧,11.76,-3.61,7.25,7.33,1.47,-,4.64,28.9,房地产开发
21,222,669,ST金鸿,详细  数据  股吧,1.7,-1.16,-,-,1.95,0.00,0.59,5.64,燃气
22,223,671,阳光城,详细  数据  股吧,2.48,-3.12,-,-,0.62,-,0.28,1.15,房地产开发
23,224,672,上峰水泥,详细  数据  股吧,20.15,0.4,7.58,7.53,1.9,0.99,1.91,5.82,水泥建材
24,225,673,*ST当代,详细  数据  股吧,1.54,0.0,-,-,-506.14,-,7.42,-35.11,文化传媒
25,226,676,智度股份,详细  数据  股吧,5.2,-0.95,65.49,49.72,1.72,-,1.38,20.62,文化传媒
26,227,677,恒天海龙,详细  数据  股吧,2.94,-1.01,30.79,32.65,6.67,0.02,2.31,51.63,化纤行业
27,228,678,襄阳轴承,详细  数据  股吧,4.39,1.62,-,-,2.01,-,1.64,29.81,汽车零部件
28,229,679,大连友谊,详细  数据  股吧,4.22,-0.94,-,-,3.67,0.00,8.74,-26.49,商业百货
29,230,680,山推股份,详细  数据  股吧,5.0,0.4,15.28,35.85,1.63,0.14,0.85,-64.31,工程机械
30,231,681,视觉中国,详细  数据  股吧,12.23,0.99,60.40,56.05,2.63,8.41,12.72,76.76,文化传媒
31,232,682,东方电子,详细  数据  股吧,6.35,2.92,23.67,24.48,2.2,0.84,1.82,-187.61,电网设备
32,233,683,远兴能源,详细  数据  股吧,8.69,1.4,5.82,6.36,1.95,0.00,2.5,8.62,化学原料
33,234,685,中山公用,详细  数据  股吧,7.41,-0.13,8.18,7.46,0.72,1.26,4.55,31.41,公用事业
34,235,686,东北证券,详细  数据  股吧,6.38,0.16,14.55,9.19,0.84,0.65,2.14,3.5,证券
